question,answer_text,distractor
"According to the passage , if you want to help the poor , you can",be a volunteer,"'be forbidden to help the poor', 'get the best puzzles', 'take door'"
"If the British just want to end a talk politely , they may say , """,Let 's go out for a meal one of these days .,"'do want to get more time', 'use bags bags bags', 'eat as much as possible as possible'"
One of Britain 's biggest banks recently,lost money as its young customer did not have the money to pay his debts,"'to make money for the money for the money', 'the government government for the government for the new government', 'they do know how to earn money for the money'"
"According to the passage , Brunswick Food Bank is probably",an organization to help the poor by offering food,"'the opinion of food supplies', 'developed the function of food', 'brand pens for food'"
The main idea of this passage is that,"it is a mistake to follow the "" top "" crowd blindly","'the younger man is the biggest city', 'it can help people to walk in the parks', 'people can enjoy the free of the sun'"
What is   Ahmad   really proud of ?,"She helps hiingry people go Bhnjugh hurd time ,","'she likes surfing', 'it makes the little to walk', 'the students live in the us'"
The passage is mainly about,how to be a good listener,"'how to find person', 'what kind of lies', 'why the reader language'"
Which of the following statements is TRUE according to the text ?,Run away from the beach as quickly as possible if an earthquake happens .,"'the gate trouble the gate door the door open', 'release and the busy', 'went away the gate'"
What is special about Google Glass ?,People can explore the Internet with it .,"'people can track the internet', 'it takes people to read the internet', 'the ads has been used'"
What did the restaurant in Xinjiang do to support the campaign ?,It offered a free meal to the guests who had finished all their food ten times .,"'the customers to make this one one of the customers', 'customers the customers to buy some vegetables', 'it wanted to make the meal one day'"
The author tells us the following EXCEPT,the bad effects of mulch,"'the influence of the', 'how the effects of the', 'it the best way to make the best'"
Gardnerbelieves that,there is no general intelligence .,"'the question of lies', 'people do like to be', 'it offers people to lose weight'"
What is true about Mr. Tomoyori ?,He used stories to help remember words .,"'he picked many books of books', 'the books kept kept books', 'what his own books'"
The people of Hong Kong will not quickly forget Typhoon Rose because,it caused the terrible losses,"'it was too cold', 'the sea level', 'people can enjoy the weather'"
Where is this text probably from ?,A health magazine .,"'an animal shelter', 'report on animal', 'book advertisement'"
What 's the latest profession trend in today 's America ?,More people are beginning to earn a living by blogging,"'people in the northern america have more money', 'more than people are going to relax themselves', 'women are more extreme about women'"
What is the author 's purpose in writing the text ?,To give an example of how clever a dog can be .,"'to show how terrible of humor is harmful', 'that we should try to find the difference of the course', 'advise the disadvantages of taking reading'"
"According to the passage , the missing prediction is .",whether people will still need to learn English,"'where the east of the', 'how important of the important of the history', 'if you want to learn english'"
One day Avanti saw two men,arguing about the payment,"'the manager was', 'she could buy the trousers', 'tied hand'"
What 's the policy for the new students in MIT ?,They are given a chance to get used to the study style in MIT .,"'they wanted to make their new method of the london students', 'the london students do know the importance of the eiffel', 'their teacher got better at home'"
The reason why buildings can not be very high in Tokyo is,the earthquake,"'the earthquake', 'an earth explosion', 'water air'"
What is the main idea of the passage ?,Nighttime light may foster    depression .,"'blood pressure', 'the body temperature', 'sleep and radiation'"
"The research on sleep habits of remote hunter - gatherers in Tanzania , Namibia and Bolivia shows that",""" natural "" sleep may be less than eight hours a night","'the less food you can be', 'our body temperature is more than than regular', 'long distance is more than than regular'"
Eve Hobsbawm is an unusual adviser because she,is just a pupil at primary school,"'does like to school', 'is the beginning school school', 'starts to school'"
Lewis ' research provides an answer to the question,why middle children seem to have more difficulties in life,"'the influence of children friendship is based', 'what the difference between children and children are usually beautiful', 'parents make care of their children'"
Mrs. Read told her son to,see if some of the pigs were missing,"'ask the police to come the medicine', 'take to the police for the medicine', 'the bird could go away'"
Goodall 's most important discovery is that,some animals use tools,"'trees are caught by the sea', 'animals are useful to humans', 'robot makes noise noise'"
What kind of person would probably apply to Palmlaee Limited ?,One having good computer knowledge .,"'the website manager takes', '100 years old', 'people are walking with their favorite'"
Which of the following statements is NOT true ?,The US customs officers told Albert the reason why the similar program had been stooped .,"'the government did not understand the problem of the law', 'he was the last military to the last last', 'many of the persons union visitors in the usa'"
Hot yoga is different from regular yoga in,its temperature,"'the thick', 'it suitable for the body', 'visual the thick'"
What is the author 's purpose in writing the passage ?,Giving advice on how to fit in at your new school .,"'how to write the teacher how to educate the teacher', 'what the teacher does know how to educate the teacher', 'tell readers how to educate the teacher'"
What can we know about Linda according to the passage ?,She has plenty of experience in teaching .,"'she was invited to help the five teen', 'her son was ready to help her perform', 'lucy found her origin'"
The last passage is meant to,present the changed attitude to Brittany,"'the influence of the brothers', 'show how to arrange the place', 'those facts of the'"
"According to the passage , we can infer that",online education will probably change the way that people go for higher education,"'students should use the use to find the hi to find money', 'the younger generation provides will be held in the year', 'intelligent media is more important than helpful than the internet'"
Tom Brown went to the restaurant,to have his meal,"'to buy the beautiful man', 'bought the beautiful man', 'because to eat the meal'"
Which of the following is true according to the passage ?,Some dropouts found it easy to get a job .,"'the post office is specially', 'people can enjoy the best life', 'how people do have to work'"
"When exercising , the most important fact is",the right balance of activity,"'the key of the brain', 'people blood pressure', 'it was the worst of the human'"
What would be the best title for the passage ?,Choosing to be a single mother .,"'how to organize the teacher', 'to find the teacher to visit party', 'the teacher got to visit party'"
".According to the second story , the term "" K """,was used to call Van Buren 's supporters in the election,"'was the first person who was the first', 'succeeded the woman was in the', 'martin did want to leave the hospital'"
"According to the author , thatThe Great Gatsbywas not being popular in 1926 was probably because it",destroyed American dream of that time,"'the way to recognize faces', 'was stupid way to make the place', 'people who were killed by the monkey'"
What can we conclude from the passage ?,San Francisco is cherished site for moviemakers .,"'chinatown is', 'the city is', 'lake'"
"In the space hotel , tourists can have","food , tea , water and fruit juice","'tea and tea', 'and fish', 'tin'"
Which of the following speeds up   the breaks of rocks most ?,Sharp changes in temperature .,"'the burning in the sun', 'light atmosphere', 'people attitudes towards'"
Which of the following agrees with the passage?,Pierre de Coubertin contributed a lot to the Olympics,"'the writer was buried in the south', 'was born in the south', 'dave did want to stay the'"
Which of the following is TRUE about the film 's story according to the article ?,"Despite having won the 74 
 thHunger Games , Katniss does n't feel much joy .","'the writer did know how to smile', 'my son co fortune', 'joe is very familiar'"
Why do they go to their Chinese friends ' home on weekends ?,They want to learn Chinese from them .,"'they want to make their children', 'because the zoo do like to eat', 'the school school meetings them to do so'"
At the end of the passage we can infer that,Buck got both his body and his pride hurt,"'the audience who was always happy', 'he wanted to forgive the boss of the', 'was trapped by his wife'"
The reason why the imported book is so popular is that,it opens a wonderful world for children to explore,"'it is the most important magazine in the world', 'the king is the best one in the world', 'what can make people know how'"
What is the best title of the passage ?,Barbie 's past and present,"'the importance of the importance', 'people', 'life and authority'"
"Which of the following has the similar meaning to "" in all probability "" ?",Nine times out of ten .,"'the people who were gone', 'one one stays', 'people'"
The colors of the flag of Great Britain now are,"red , white and blue","'blue and blue', 'tin', 'white blue'"
The boy,shows her the way to the zoo,"'does like the monster', 'was looking for her daughter', 'the blind ears'"
What 's the floodplain death adder 's method to make the frogs safe to eat ?,They inject poison on the preys and wait for the breaking down of their toxin and glue before eating them,"'they had no longer to the sound of the salt', 'the last they were asked to the sound', 'their trapped and then they were'"
"According to immunotherapy , the patient is supposed to",be given the allergy - causing substance until the patient develops resistance,"'unnecessary the problem of the brain', 'make the test to work', 'have positive the physical of the brain'"
Which of the following is NOT true ?,Peter only likes baseball .,"'tony is very healthy', 'the movie is very sad', 'bob does like the movie'"
Which of the following statements is NOT true ?,"During their stay in New Zealand , they also visited a war zone in the town .","'the chinese arrived to attend the meeting day', 'when he was the first islands to sail the islands', 'he part the last the last'"
We can infer from the text that,""" travel broadens the mind sometimes does n't make sense","'the better we can remember', 'is good way to make choices of the', 'we have to follow the fashion of the'"
What did the researchers do when students worked out the given problems ?,They recorded the students ' brain activities .,"'they were cleverer than scores', 'their teachers were too rude', 'the teachers did know how to commit'"
Which one of the following statements about what the AAAS plan suggests is true ?,The application of emerging technologies .,"'the user of the user', 'and computers', 'people in the united states'"
We can learn from the text that,Swiss Historical Village is open for half a year .,"'the author offers in the uk', 'people who have to pay for the books', 'an introduction of the uk'"
Which of the following is the key reason that Liu Qian decided to make magic his career ?,He could n't find an acceptable job after graduation .,"'he will have to spend more time hanging my', 'his head will do emphasize in his students', 'my will do the exam'"
If you want to be cheerful you should,choose to be cheerful every day,"'go to the hotel', 'be the best local', 'take your youth area'"
Why did the author suddenly smile ?,Because she saw a picture on the ceiling .,"'because she was scared of the', 'she was afraid to walk the', 'the shirt was not so'"
"The rule of the game of language is probably ""  ",Be polite,"'the king', 'good mistakes', 'they were interviewed'"
"What did the girl mean by "" Broken wings , flying heart "" ?",Never give up hopes in face of hardship .,"'because he was too busy', 'the king would not take to the', 'they wanted to open the place of the day'"
How did Gustave Eiffel save the Eiffel Tower ?,By making it a base for scientific research .,"'by the museum of the world', 'to make the world record', 'from his books'"
One of the reasons why Moon is glad to donate is that,her hair could grow back very quickly,"'she has been no strong', 'her mother does like to make it', 'the little ears is much'"
What 's the best title for the text ?,Crying while reading through centuries,"'reading books', 'the tips', 'writing fingers'"
Which of the following would be the best title of this passage ?,A person 's IQ and EQ .,"'how to use the language', 'boys', 'effects of body language'"
Many Manx people went to England to,look for jobs,"'build the', 'go the poor', 'get some money'"
Why did n't the old man stop Mr. Green when they passed the hotel ?,Because he wanted to get home .,"'because he did know how to sell the', 'he liked the beggar', 'the writer did know how to take the farmer'"
It can be seen from the passage that,the government planned to forbid over 1 million cars to run on the roads during the Olympics .,"'the airline did accept the person to the accident happened', 'all miners miners in the second olympic theatre', 'lee was the customer of the department'"
Many people ca n't control their weight after the holidays mainly because they,ca n't help being tempted to eat constantly,"'do like to eat french', 'want them to eat french', 'will use the best pills'"
Why did average food prices worldwide rise 6%in July ?,Because America is suffering the worst drought .,"'because people were more busy than those', 'it introduced better for the homeless to make more money', 'the terrible of failure'"
Which is not true ?,Watt decided to make the world 's first widely used horse engine,"'fool driving to avoid the amount of the amount of the amount of the amount', 'to measure the amount of the amount of the amount of the amount', 'the first group to the blind to the police'"
Why did n't Alice expect there was also a gift for her ?,The gifts from Santa Claus were usually for children .,"'the beautiful lady joyce', 'her mother was beautiful beautiful', 'beautiful birthday party'"
If you are lucky enough you can see Kewen Lichadson,swimming with the wild animals side by side,"'the dog bit like', 'dog', 'east east zoo'"
"In spite of Bruce 's warning , the author still cut down the tree because",he was n't sure if Bruce was right and was anxious to go home,"'he was afraid that johnson would die in the cage', 'the clerk was too dirty to run', 'his elephant was so busy'"
"By saying "" At work you spend most of your time wanting to get out and inside bars "" , the author means that",an office worker always wishes to end a day 's work and go for a drink,"'the salesman shop is too lazy', 'it was easier to find the moment of the salesman shop', 'company manager is the owner of the customers'"
What would be the best title for the passage ?,Chinese invented hamburger,"'chinese', 'buying mobile', 'an expert'"
What does the story tell us ?,It 's better to think of the best way .,"'it is good to celebrate the young man', 'the picture is good place', 'we must try to get better in the best'"
The passage is mainly about,what the students in the UK usually do in the winter break,"'the students who want to attend the college', 'why students how to attend the college', 'students who want to attend the college'"
We can learn from the passage that the man,found it no use crying over the wrong past .,"'the boy would apologize to her', 'was angry of the eye', 'wants her to give the person'"
Hot chocolate is popular in winter because,it can make your cold hands warm,"'it makes you', 'the water goes makes', 'you need you more'"
"In the end , Mrs Jones",does n't buy the dress,"'does like to eat', 'the old man does like to eat', 'wanted the to buy the trousers'"
Which of the following can be the best title of the passage ?,Two Dogs,"'protecting', 'the usage of humans', 'disabled singles'"
Ben supports the position that,we will explore in space and discover its secrets,"'we should have to extreme our dreams', 'the universe would be limited by the moon', 'robots have been made by the moon'"
Governments will probably produce the textbooks themselves and decide the contents when,governments want to control ideology,"'help them learn how to use them', 'stop the officer department', 'do can use the pubs completely'"
"From the passage , we know MIT",became a member of the Association of American Universities in 1934,"'was popular in china development', 'gained in the uk of the positions of the usa', 'women in the uk academic in the usa'"
"If an applicant has been admitted , the applicant family",will be asked to confirm acceptance and pay the fees,"'would take the money to the', 'the money will pay for the money', 'will make the money of the'"
"According to Adrienne Appell , playing",is good to children 's overall development,"'plays role in children mathematics', 'is more important than children', 'has nothing effect on children'"
We can draw a conclusion from the passage that,we had better not buy medicines online .,"'the younger generation to succeed to advertise', 'people often to depend their own choice models', 'companies have been made up the cost of money'"
What does the report mainly tell us ?    .,The condition of China 's migrant workers needs to be changed for China 's development .,"'the government of people who have to pay further by the government', 'chinese students do to take their college', 'people wish to take their best use of foreign people'"
What 's the best title for the passage above ?,How to Help,"'how to save the', 'the history of the', 'why the history of the'"
Which of the following can be the best title of the passage ?,Cellphone Use Is Spreading,"'the internet', 'keeping people use mobile phones', 'cell cell phone'"
Which of the following is TRUE ?,The support from the family is also a great help to Megan .,"'the audience that the writer feels life', 'it the largest cause of the world', 'there were no islands in the book'"
Which of the following may NOT be the advantage of nuclear energy over other energy sources ?,Nuclear energy is more environmental - friendly than other green energy sources .,"'the mass of which industries are been produced', 'people should use the use of the solar technology', 'solar dioxide is helpful to people crops'"
"To learn surf lessons , Coastlife will provide you with",the best beach free of danger,"'the history of the museum', 'people like to watch the', 'take up mountain'"
How did Greg keep his promise to build a school ?,He raised and saved money .,"'he asked the action to help him', 'his mother asked him to help him', 'she did care the money'"
More exhibitions are held in    ,Shanghai New International Expo Centre,"'chinese city', 'national city', 'the city global'"
The doctor gave Mr. Jackson the right medicine when,London zoo told them what kind of snake it was,"'the hospital did want to take the hospital', 'mr was irresponsible ill', 'he hoped to take the hospital to the hospital'"
Which one of the following is NOT right according to this passage ?,You 'd better exercise once a week to lose some weight .,"'the less you have been', 'it unnecessary to make up calories', 'you do have to spend more money'"
Why did the author set up Condition One ?,To help viewers have a better feeling of presence .,"'to show how to make friends', 'they help to teach about how to walk', 'studying hard to make movie movie'"
Which of the following is TRUE according to the passage ?,David shows Sally four pictures .,"'judy page series', 'the writer page series', 'charlie mother'"
Which is the best title for the passage ?,Benefits of Sunflower Oil for Skin,"'the effects of cancer', 'deadly research', 'how the effects of carbon dioxide'"
What did the farmer usually do at night ?,He filled water to the hole,"'he placed the apples to the monkey', 'the apples inside the monkey', 'his friend did know how to eat them'"
How did Reuben manage to raise the 20 cents short for his purchase ?,By sweating himself in collecting and selling more sacks .,"'by taking the money of the shop', 'could the money of the apple', 'he hoped to buy some cheap'"
We can infer from the text that in the future,people will take up more creative jobs,"'people have more money to have higher income', 'the workers will have more money to save the cost', 'robots do not have enough money to save the cost'"
Which of the following might explain the fact that the Manuscript was found in the attic ?,O. Henry once stayed in Galveston .,"'dave was supposed to work', 'was buried by the', 'visited louis'"
"In Svanstrom 's opinion , a marriage",should experience difficulties to make it steady,"'should expect to the public of the', 'does like to be good as the sailors children', 'feels good to make friends in the market'"
What would be the best title for the text ?,Importance of Early Work Experience,"'how to make up reading', 'the causes of learning', 'different ways of learning thoughts'"
Which of the following may be the best title for the passage ?,Men need children more badly,"'women should have patience to guns', 'boys are more likely to be born', 'guns and women'"
Why are Europeans particularly concerned with building materials ?,They spend most of their time indoors .,"'they are better to spare the most of plastic', 'their food are not to be limited', 'chess prefer to make their food supplies'"
We can infer from this passage that,offensive breath ca n't easily be cured,"'can be used to mouth', 'the skin can be used', 'people usually unable to eat'"
Which of the following about AT&T Dolphin Tales is TRUE ?,It is really worth watching for visitors .,"'it is the largest flower festival', 'the boy stayed in the east of the world', 'there was no christmas in the magazine'"
Which of the following is true ?,Mrs. Miller wants to make friends with the Whites .,"'mr white does like real', 'mary does like the fish', 'susan is the richest movie in the'"
Which of the following is NOT right according to the article ?,Jenny is going to study medicine at a university in the new term .,"'university students took part university', 'college offers took college', 'the scholarship of basketball basketball is the fastest'"
"According to the passage , what happened second on historical timeline ?",The Spanish ruled Mexico .,"'the australian museum', 'french people', 'april new york'"
The passage tries to show us,how deeply a mother loves her child,"'how to teach how to arrange up', 'why the importance of her mother', 'what god must have good dreams'"
.The passage mainly tells us,there is a blind spot on the eyes .,"'the person should buy big', 'why the colour is very beautiful', 'how god needs life'"
did they do when they saw a tile wall ?,They went on knocking through the wall .,"'they were pulling by the salt', 'the monkey jumped the light', 'there would be fit to the little house'"
"To the author , it seemed to be a horrible turn of events that",someone else had got a basket of the same kind,"'the post manager was painted', 'my boss was tied of the boss', 'asking others to do what you want to do'"
What does the text mainly discuss ?,How the Internet affects newspapers .,"'how to find the internet', 'what people can use the internet', 'the advantages of online'"
It can be inferred from the passage that,British workers work longer hours than the French,"'the chinese government encourages to protect the injured', 'americans have been injured by the injured', 'most americans have been injured by the injured'"
What 's the text mainly about ?,The history of Chicken Soup for the Soul .,"'the of the food in the united states', 'why kind of the chocolate tree', 'how chocolate tea'"
How did Al feel at first after he bought a lottery ticket ?,He did n't think he could win the lottery .,"'he wanted to sell the', 'the did would be sold', 'his wanted to sell the ticket'"
Which of the following statements about Mandela 's portrait is true ?,It helps develop business,"'it is the biggest of the world', 'the better of supermarket is larger', 'its has been been discovered by the'"
Which would be the best title of the passage ?,The great lie detectors,"'the history of the story', 'teddy and', 'great difference'"
Which would be the best title for the passage ?,A Race Against Death,"'the blind adopted', 'an adult', 'people suffering attack'"
Which of the following places suffered most when Typhoon Haiyan rolled in ?,The central Philippines .,"'the', '', 'new the'"
How can you find the angle that suits you most ?,Study your face at different angles .,"'you do like the images', 'the homework can help you finish your homework', 'your friends do like the same'"
What do we know about the chimp Ponso ?,He suffers from loneliness greatly .,"'he was interested in boxing', 'his parents do know how to smile', 'it helped me how to find the greatest'"
The front page contents   are decided by,the importance of the events,"'the history of the director', 'how the history of the day', 'people to take the place of the time'"
What did the old couple go to Harvard for ?,They wanted to meet the president of Harvard .,"'they wanted to make the students to make money', 'poetry poetry and the students', 'he was very important to make the students to help the students'"
Why did the writer finally agree to take her little girl for an outing ?,She was reminded of the day they flew kites .,"'she thought she was not suitable to help the children', 'her mother told her to help her to help her', 'because the writer did know how to tell the front'"
"If you want to take the oil painting course , you should",have free time in the afternoon of every Thursday in January,"'have clear amount of the amount of the bank', 'master and club academy', 'take to the park palace'"
The man or woman left behind with an unfinished marriage usually,feels embarrassed and useless,"'was busy with her', 'the old man did know how to do so', 'did not want to see the beautiful'"
"When Jane was very young , she",both B and C,"'he was tired with the', 'meeting', 'found basket'"
It can be learned from the text that Bill Gates thinks,Americans should care about people in other countries,"'people should use the fashion programmes instead of the government', 'europeans people go to work together', 'the people in australia are very busy'"
We can infer from Pereira 's words that,87 out of 140 volunteers developed pancreatic cancer,"'the system of the volunteers', 'avoiding people in the earthquake', 'children who are expected to help the students'"
Which of the following is right ?,Jane copied the wrong answers .,"'the last letter', 'mary does like the', 'there were no things to read the books'"
Why did other cities watch closely to see how New York was doing ?,Because they felt worried about the waste of money .,"'because they wanted to know how to sell the food', 'they wanted to know how to sell the products', 'it could cause the weather of the city'"
"On the first day of the kindergarten ,",the father felt happy when he sensed Sam 's love to Tonio,"'the king would have to live campaign', 'he liked to draw the young man', 'his mother was seriously'"
"If people want to know the treehouse with Turkish carpets , they should visit",The website : below.tongabezi.com .,"'the', 'cutting', ''"
What plays a key role in looking for food ?,The nostrils .,"'the french museum', 'saving people', ''"
Mary is     ,cleaning the door,"'the door', 'running', 'on foot'"
The passage mainly wants to teach us,how to learn from failure,"'how to use the language', 'what the importance of the language', 'why the students should know how to write'"
"Form the text , we can learn",Lang Ping is thinking the US offer over,"'mr smith likes to write the chinese institute', 'jack is the largest player friend', 'lucy loves going to the north'"
Rogers changed his mind and did n't fire Tony because,he learned more about Tony 's work,"'he did want to go the game', 'the shop was closed', 'his friend liked playing'"
Which is the best title for the passage ?,How Solar Energy Could Reshape the West,"'how to design the sun', 'wind is the largest lake of the world', 'what causes of climate change'"
The author was disappointed to find that,one 's occupation affects the way one is treated as a person,"'the more careful for the weak', 'it is easy to get better than beautiful than men', 'he could have dreams dreams'"
What is the goal of One Computer Every Child ?,To help children teach themselves to read through new technology .,"'to help students learn how to use computers', 'communication the students to use digital phones', 'students pay more attention to their students'"
"If you complete the shortest journey between Papa Westray and Westray ,   ",a paper will be given to you as a proof of your flight,"'you can write your entire note', 'data occur data', 'the rest of the letter'"
"According to the study , when teenagers spend more time alone with their fathers ,",their social skills will be improved,"'their brains are more likely to suffer from later', 'they are moments of material of gender', 'the teachers should provide their children'"
"According to the passage , which of the following is right ?   ",Some clever students are able to work well in class because they have good study habits .,"'students who want to be able to learn the language', 'the current school is specially for children', 'if students learn how to use the test'"
Which of the following is NOT true according to the passage ?,It 's easy for teenagers to give up blogging .,"'it helps the children to learn more about the world', 'the writer thinks to hide with the child', 'if it helps the disabled to get rid'"
Which of the following statements is TRUE according to the article ?,The cow did n't care about what the rat said .,"'the little coffee tree was the first', 'whether he was the first to the', 'all crows are moving to the'"
The most important reason for Google Flu Trends ' accurate and reliable estimates is that,it bases its estimates on Google flu - related search data,"'it is illegal by the software phone users', 'the internet has adopted mobile phones', 'software can make the seed software'"
"When invited out for "" supper "" a few weeks later , the writer",expected to be served a proper dinner,"'would buy some money for meal', 'to buy new for his meal', 'could go to the meal day'"
Which of the following is true according to the passage ?,David Crystal thinks Netspeak helps develop the habit of writing .,"'reader is the key factor of the internet', 'the author does have any friends to make friends', 'bill gates is very reader'"
What would be the best title for the text ?,Danger of Harmful Waste to Mankind,"'the causes of sea pollution', 'how many kinds of plants', 'saving fun of natural resources'"
The following are all the reasons for English to be widely used EXCEPT that,many schools asked the students to study English,"'the students who want to learn the language', 'japanese students do not understand to learn the', 'students can not understand the language'"
In the Great Depression many unhappy couples close to stick together because,living separately would be too costly,"'women could not have good meal', 'people do know how to do with the', 'the younger people wanted to do so'"
The purpose of the text is to,help kids avoid being bitten by dogs,"'teach the children how to cook', 'express blind the blind to hit the', 'make out the children who take away'"
It can be concluded from the passage that,the discomfort of an organ will result in a certain ill emotion .,"'the strength of the speech influences', 'iq of the brain can be solved by the extreme', 'people have been done to work hard'"
Which of the following statements is NOT TRUE ?,Helen became blind before she could see anything .,"'joan was very busy with her boss', 'the girl was very busy', 'mary liked her own because she was born'"
How did Ibrahim go to school before his parents separated ?,He walked to school with the support of his hands .,"'he decided to teach how to teach the students', 'his mother asked him to do so', 'they wanted to make his friends with his friends'"
"According to the author , you have to do step 2 because",you have to understand the meaning behind each word,"'you should have good dreams', 'the less you do have to learn english', 'it will be able to make sure of trouble'"
It can be inferred from the passage that in the business world,handsome men are not affected as much by their looks as attractive women are,"'women have more than chances to have than wealth than men', 'american women have more than younger than women', 'the women expect have wealth in wealth'"
"Blackie , Brownie and White Puppy are given as examples to show that",the donations can improve some dogs ' lives,"'the homeless can help them to live', 'people can enjoy more money', 'it has the highest teen tour'"
What may   teachers not do ?,do n't like some students .,"'decide go to school', 'do like to go with school', 'go with the classroom'"
We can learn from the passage that,train trip to Tibet is popular with travelers,"'the content of the hotels', 'traveling go to the nearest', 'gets can buy ticket by the wall'"
The reason why Phil 's predictions are n't pleasing is that,some of the predictions were unavailable,"'the people who lived in the earthquake', 'those people who lived', 'people can recognize the local'"
The author 's experiment shows that   ,snakes are dry and clean,"'the terrible of pigs in the sea', 'pigs are better to keep the', 'animals in the desert'"
The people killed rats,to get some money for the dead bodies,"'to make the medicine of the medicine', 'when the medicine on the medicine', 'not to eat junk'"
What strange thing did the man do ?,Tore a newspaper into small pieces .,"'the pencil box', 'an orange sweater', 'book about'"
The passage is mainly about how,kids are saving the Earth,"'the last east in the world', 'what dreams is the best way to keep up', 'it takes to keep the earth'"
"Before entering the lawyer 's house the doctor stopped for a while , because",the doctor was afraid that the lawyer would refuse to pay him,"'the driver did want to ask the doctor', 'he did want to ask the visitor', 'she did want to ask the visitor'"
The Scottish Fold   ,is born with straight ears,"'looks much than beautiful than beautiful', 'is puzzled short', 'carl to be scientist teacher'"
What does Dale Brill think the government should do ?,Keep tuition low for majors leading to more jobs .,"'work hard to get job job', 'earn the total of money', 'make to buy some information about the world'"
We can know that the writer,is a very successful teacher now,"'is the most joy joy', 'does think the boy is very good', 'wants is the most important joy'"
What trouble did Ann have when she was in Spain ?,She could n't find her Spanish money,"'she was too poor to climb the value of her friend', 'her father asked her to do so', 'the older she did have to go to'"
What do we know about SmartWR PENS ?,It has a history of over 30 years .,"'it is the most advanced book 200', 'scotland has been saved by the world', 'the story has been used by the us'"
Mrs Green,does housework at home,"'does does dress', 'goes to school', 'is wearing'"
The Englishman 's answer to the question of the last place showed,he was angry and did n't want to tell the visitor its name,"'he hoped to know what effendi would bring him', 'the writer would know to know what to do with him', 'when hoped to know what effendi would bring him'"
The boy left the old man and went in another boat to fish because,the boy 's parents ordered him to,"'the boy was angry', 'there the young man', 'he wanted to ask the visitor to the young man'"
"It can be inferred from "" a Northern man with Southern principles "" that",although Tom was born in New England he liked the way of life and culture in the South,"'the was built in the francisco', 'he often visited the and the north', 'and was built in the river'"
The scientists did the two experiments to,make preparative research on changing the human brain,"'examine the effects of cancer', 'measure examine the brain of the brain', 'test effects of the brain'"
Which of the following is TRUE according to the passage ?,It 's said that the broken eggs represent the wish to lead a new life,"'the first of the dog was baby', 'it was once the first regular to explore the classic', 'neighbors and women lived in the past of the first of the first'"
Which of the following might be the best title for the text ?,Going to Boarding School,"'how to use the internet', 'teaching the teachers', 'the teachers who are to learn math'"
Which of the following is true according to the passage ?,This service is more popular in Japan than in other places .,"'it is the largest lake of the world', 'the chinese government and the two countries and drawn clubs', 'thousands of the countries have the same of the world'"
The driver climbed in through the window to,see what was happening in the house,"'tell the visitor to the visitor', 'the driver was thief', 'open some the same'"
What 's the best title of the passage ?,Gain an Extra Hour Every Day,"'how to choose person day', 'disadvantages to the trip', 'to raise the trip trip'"
The interesting experiment tells us,dolphins could talk in their own language,"'the bird is very interesting', 'why the people did like to play', 'those famous words are good'"
"From the writer 's experience , we could learn that",you will find another more easily if you stick to a job,"'you should learn to read your letter', 'the ability to succeed with the best you have', 'it means to succeed to get better in the hotel'"
Which flat is best suitable for web addicts ?,Flat C,"'big', 'saving food', 'an ancient'"
Which of the following can be the main idea of the passage ?,Holiday foods vary from culture to culture .,"'the disadvantages of american food', 'coffee is the most popular popular popular', 'northern foods'"
What do doctors tell us to keep healthy ?,"Eat less , don't smoke and exercise more .","'you drink more delicious', 'the less delicious you drink', 'drink can not be made with them'"
"The phrase "" first - come , first - served "" tells you that",tickets are sold in the order of who arrives first to buy them,"'the purse was bought by the producer', 'all his money and buy the meal', 'employees in the kitchen shop was not crowded'"
Xiao Fang did n't go to school when she was younger because,her family was too poor,"'she was too rude to her mother', 'her parents died', 'the old man was too rude'"
What is the passage mainly about ?,A hobby becomes a pursuit   for an artist .,"'how to make up', 'the history of movie industry', 'famous is famous movie'"
"As for driverless taxis , we can infer that",they will be both convenient and safe,"'the men should have no amount of the', 'they should spend more time on the', 'trains will be able to join in the end'"
"According to the passage , to learn a new language well , the most important thing is",having fun,"'good friends', 'touching', 'the position'"
The passage was written to,show how young Chinese are dealing with the economic situation,"'show how to attract people to learn about mass', 'explain the relationship between the chinese people', 'encourage young to learn how to learn about'"
What can we know about the Christmas tree in Rockefeller Center ?,The tree is very tall and beautifully decorated by people at Christmas time .,"'the little elephant was painted by', 'it is suitable for the little to help the old man', 'there were no christmas trees in trees'"
"According to the author , you should",buy a folding steamer if you want to try,"'do know how to arrange the person', 'make friends to find the person', 'try others to find the person'"
It may no longer be necessary to use high - grade white sand to keep water clean because,the green sand has been used to keep the water clean,"'the water around the water', 'there is no water water', 'water and water floating'"
Where is food usually prepared ?,On fires in front of the hut .,"'in the ground', 'on 10', 'to clean the place'"
From the passage we can learn that,Jack is taking medicine,"'the doctor does like to eat', 'is not worth money from the bush', 'does not like to use the medicine'"
Which of the following situations is most dangerous according to the passage ?,A teenager driving after midnight with passengers in the car .,"'driving driving car', 'standing in the car', 'the driver who stayed to the radio'"
FDA can ask for the proof of safety and effectiveness of a product,if it is a drug,"'it is easy to use the alcohol', 'the system of the product', 'to help the poor person'"
"The example of "" Loonie "" is used in the passage to",give some information about Canada 's money system,"'warn people to use the internet', 'tell us how to spend money wisely', 'suggest that people who want to use the internet'"
